logFile;Algorithm;Number of classes;Epsilon;Time limit;Number of multi-start runs for Gradient;multi_best;multi_worst;multi_mean;multi_median;multi_std_dev;multi_nb_best_found;multi_nb_runs;solutionValue;cpuTime;isFeasible
vingtDeuxSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;103.0;114.0;106.68;106.0;2.6064284735543968;missing;50;103.0;0.45304107666015625;True
vingtEtunSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;141.0;144.0;141.8;142.0;0.7559289460184545;missing;50;141.0;0.1429753303527832;True
dixSeptSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;88.0;93.0;90.22;90.0;1.5291721116142472;missing;50;88.0;0.03837084770202637;True
vingtCinqSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;227.0;229.0;227.7;228.0;0.6468132241526726;missing;50;227.0;0.06441068649291992;True
dixSeptSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;60.0;64.0;61.36;61.0;0.9205144967764007;missing;50;60.0;0.14377140998840332;True
dixSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;13.0;22.0;15.14;15.0;1.873662788470209;missing;50;13.0;0.02827596664428711;True
vingtEtunSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;107.0;110.0;107.58;107.0;0.7024737630368141;missing;50;107.0;0.32164883613586426;True
vingtSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;73.0;85.0;78.24;78.0;2.759473478319917;missing;50;73.0;0.009910106658935547;True
quatreSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;4.0;4.0;4.0;4.0;0.0;missing;50;4.0;0.001470327377319336;True
vingtSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;53.0;66.0;59.52;59.0;2.9293727126802964;missing;50;53.0;0.13578462600708008;True
vingtTroisSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;149.0;157.0;152.34;152.0;2.2370717011124985;missing;50;149.0;0.18767070770263672;True
vingtQuatreSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;197.0;199.0;198.06;198.0;0.5858884758402823;missing;50;197.0;0.015147209167480469;True
vingtTroisSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;176.0;179.0;177.48;177.0;0.8141603913585719;missing;50;176.0;0.044443607330322266;True
cinquanteSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;314.0;354.0;333.34;333.0;8.66051325245325;missing;50;314.0;1.624006986618042;True
cinqSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;4.0;6.0;4.2;4.0;0.6060915267313265;missing;50;4.0;0.0050504207611083984;True
cinqCentSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;5567.0;5696.0;5637.24;5640.0;31.709497708067833;missing;50;5567.0;1.5941438674926758;True
cinqSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;6.0;6.0;6.0;6.0;0.0;missing;50;6.0;0.0031766891479492188;True
cinquanteSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;191.0;288.0;214.82;213.0;15.204309270998248;missing;50;191.0;4.871004819869995;True
cinquanteSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;283.0;348.0;304.88;302.0;11.783142576562156;missing;50;283.0;2.344507932662964;True
centSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;1484.0;1556.0;1515.2;1516.5;16.598500055174643;missing;50;1484.0;0.10832929611206055;True
quatreSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;2.0;3.0;2.4;2.0;0.4948716593053935;missing;50;2.0;0.0026476383209228516;True
vingtCinqSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;196.0;199.0;197.02;197.0;0.8919137873593124;missing;50;196.0;0.27244997024536133;True
trenteSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;191.0;202.0;195.72;195.5;2.8999648132981455;missing;50;191.0;1.2706120014190674;True
vingtEtunSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;159.0;161.0;159.66;160.0;0.6580738746446297;missing;50;159.0;0.047228097915649414;True
quinzeSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;43.0;49.0;44.76;45.0;1.3785529236359793;missing;50;43.0;0.12987542152404785;True
vingtTroisSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;116.0;121.0;117.86;118.0;0.9899494936611666;missing;50;116.0;0.40941500663757324;True
vingtQuatreSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;131.0;133.0;131.68;132.0;0.7125693664765672;missing;50;131.0;0.44292545318603516;True
quatreSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;2.0;3.0;2.58;3.0;0.4985693819032899;missing;50;2.0;0.002422332763671875;True
trenteSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;297.0;306.0;300.8;301.0;2.294625486315573;missing;50;297.0;0.144303560256958;True
vingtDeuxSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;135.0;145.0;139.66;139.0;2.016361645567155;missing;50;135.0;0.1832420825958252;True
dixSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;17.0;24.0;19.34;19.0;1.546688364848971;missing;50;17.0;0.018987178802490234;True
quinzeSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;58.0;65.0;61.12;61.0;1.8805123053604953;missing;50;58.0;0.05727815628051758;True
vingtSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;40.0;56.0;44.3;44.0;3.2592098704428096;missing;50;40.0;0.21268272399902344;True
dixSeptSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;75.0;81.0;78.16;78.0;1.6946494430099335;missing;50;75.0;0.08388876914978027;True
vingtCinqSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;152.0;156.0;153.44;153.0;1.1979574453278075;missing;50;152.0;0.5658917427062988;True
cinqCentSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;4252.0;4676.0;4387.28;4355.0;105.13801231073879;missing;50;4252.0;3534.5108902454376;True
vingtDeuxSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;162.0;167.0;164.6;165.0;1.4427864197660112;missing;50;162.0;0.047943830490112305;True
trenteSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;252.0;264.0;258.96;259.0;2.6026673915466816;missing;50;252.0;0.4983203411102295;True
dixSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;21.0;25.0;22.24;22.0;1.098421873528062;missing;50;21.0;0.014135122299194336;True
milleSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;7386.0;7653.0;7509.24;7512.5;53.00656871115704;missing;50;7386.0;5.695480108261108;True
dixMilleSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;7498510.0;7504096.0;7500625.78;7500479.5;1330.2064484546013;missing;50;7498510.0;1070.1677832603455;True
cinqSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;6.0;6.0;6.0;6.0;0.0;missing;50;6.0;0.0030748844146728516;True
centSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;1213.0;1311.0;1250.88;1249.5;19.747012173894014;missing;50;1213.0;30.384466648101807;True
vingtQuatreSommets_A4.0_P4_EPS0.5.log;4.0;4;0.5;3600;missing;170.0;175.0;171.82;171.0;1.6621844491082038;missing;50;170.0;0.22064781188964844;True
centSommets_A4.0_P4_EPS1.0.log;4.0;4;1.0;3600;missing;849.0;930.0;883.38;882.0;23.97268002863055;missing;50;849.0;71.8707206249237;True
quinzeSommets_A4.0_P4_EPS0.0.log;4.0;4;0.0;3600;missing;70.0;72.0;70.3;70.0;0.5439837932759934;missing;50;70.0;0.032030344009399414;True
