logFile;Algorithm;Number of classes;Epsilon;Time limit;Number of multi-start runs for Gradient;multi_best;multi_worst;multi_mean;multi_median;multi_std_dev;multi_nb_best_found;multi_nb_runs;solutionValue;cpuTime;isFeasible
dixSeptSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;60.0;63.0;61.16;61.0;0.8656718518596067;missing;50;60.0;0.014142513275146484;True
vingtSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;27.0;44.0;37.7;39.0;4.224563737891784;missing;50;27.0;0.04426765441894531;True
cinquanteSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;1.354661226272583;True
quinzeSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;25.0;34.0;31.2;32.0;2.6802375770419595;missing;50;25.0;0.02951335906982422;True
cinquanteSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;235.0;272.0;256.56;257.0;7.979974937304001;missing;50;235.0;0.014298439025878906;True
vingtEtunSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;107.0;109.0;107.58;107.0;0.7024737630368141;missing;50;107.0;0.0196380615234375;True
vingtSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;44.0;58.0;52.06;52.0;3.3037393779702144;missing;50;44.0;0.004673480987548828;True
vingtEtunSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.13782906532287598;True
quatreSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.0012576580047607422;True
quinzeSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;43.0;47.0;44.38;44.0;1.1408911661772232;missing;50;43.0;0.02230691909790039;True
centSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;692.0;782.0;740.72;742.0;18.961873669582985;missing;50;692.0;5.464076995849609;True
quatreSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;1.0;2.0;1.62;2.0;0.49031435147801467;missing;50;1.0;0.0011985301971435547;True
vingtDeuxSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;76.0;81.0;79.5;80.0;1.0738068841694934;missing;50;76.0;0.0783224105834961;True
quinzeSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.0464632511138916;True
cinqSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.002301454544067383;True
vingtQuatreSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.1998920440673828;True
cinqSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;4.0;4.0;4.0;4.0;0.0;missing;50;4.0;0.0016121864318847656;True
quatreSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;2.0;3.0;2.7;3.0;0.4629100498862757;missing;50;2.0;0.0008761882781982422;True
cinqSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;3.0;4.0;3.08;3.0;0.27404751561786966;missing;50;3.0;0.001814126968383789;True
vingtDeuxSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;106.0;118.0;111.64;112.0;2.0874747951551806;missing;50;106.0;0.006525993347167969;True
milleSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;3477.0;3636.0;3559.44;3561.0;38.09609760935133;missing;50;3477.0;2445.5782618522644;True
cinqCentSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;1336.0610320568085;True
dixSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.011562824249267578;True
vingtCinqSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.24872040748596191;True
vingtTroisSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;116.0;120.0;118.24;118.0;1.0012237410248703;missing;50;116.0;0.022760629653930664;True
cinquanteSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;163.0;203.0;180.44;182.0;8.571809515344292;missing;50;163.0;0.552142858505249;True
vingtSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.0868537425994873;True
vingtCinqSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;152.0;156.0;153.18;153.0;1.0821369636803215;missing;50;152.0;0.031068086624145508;True
dixMilleSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;4998195.0;5003894.0;5000677.52;5000451.5;1497.775319517284;missing;50;4998195.0;602.3580672740936;True
trenteSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;144.0;151.0;147.24;147.0;1.5591729885305432;missing;50;144.0;0.20987677574157715;True
trenteSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;197.0;210.0;205.08;205.0;3.0628784647445477;missing;50;197.0;0.008547782897949219;True
vingtQuatreSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;91.0;102.0;101.3;101.5;1.5681784571500106;missing;50;91.0;0.09096360206604004;True
milleSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;4816.0;5111.0;5006.76;5004.0;51.36367333802666;missing;50;4816.0;2.0439398288726807;True
vingtTroisSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.17322969436645508;True
vingtQuatreSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;131.0;133.0;131.92;132.0;0.6951728606055109;missing;50;131.0;0.0074329376220703125;True
centSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;16.16031312942505;True
cinqCentSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;2563.0;2772.0;2670.46;2658.5;52.27564696210007;missing;50;2563.0;389.3180892467499;True
vingtEtunSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;78.0;80.0;78.92;79.0;0.7782764841072135;missing;50;78.0;0.07049250602722168;True
vingtTroisSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;81.0;85.0;82.96;83.0;0.9249379460707797;missing;50;81.0;0.09437322616577148;True
dixSeptSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.06588220596313477;True
cinqCentSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;3653.0;3855.0;3756.26;3756.5;41.67944239511065;missing;50;3653.0;0.5930793285369873;True
dixSeptSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;40.0;48.0;47.08;47.0;1.5758379695014488;missing;50;40.0;0.03543400764465332;True
vingtCinqSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;112.0;114.0;113.42;113.0;0.5379477252503637;missing;50;112.0;0.11486959457397461;True
dixSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;13.0;21.0;16.6;17.0;1.52529689314733;missing;50;13.0;0.002029895782470703;True
vingtDeuxSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.15686345100402832;True
centSommets_A4.0_P2_EPS0.0.log;4.0;2;0.0;3600;missing;978.0;1033.0;1009.46;1009.5;14.946448626031946;missing;50;978.0;0.048346519470214844;True
dixSommets_A4.0_P2_EPS0.5.log;4.0;2;0.5;3600;missing;8.0;13.0;10.74;11.0;1.225744255377865;missing;50;8.0;0.008031606674194336;True
trenteSommets_A4.0_P2_EPS1.0.log;4.0;2;1.0;3600;missing;0.0;0.0;0.0;0.0;0.0;missing;50;0.0;0.4307544231414795;True
