logFile;Algorithm;Number of classes;Epsilon;Time limit;Number of multi-start runs for Gradient;multi_best;multi_worst;multi_mean;multi_median;multi_std_dev;multi_nb_best_found;multi_nb_runs;solutionValue;cpuTime;isFeasible
quatreSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;2.0;3.0;2.52;3.0;0.5046720495044484;24;50;2.0;0.0032851696014404297;True
trenteSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;297.0;308.0;300.22;300.0;2.493174355585052;6;50;297.0;0.34910130500793457;True
vingtEtunSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;107.0;110.0;107.64;107.0;0.8514093957572194;27;50;107.0;0.6556484699249268;True
vingtCinqSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;227.0;229.0;227.8;228.0;0.7824607964359516;21;50;227.0;0.10285496711730957;True
centSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;1475.0;1543.0;1511.04;1512.5;14.582572769282812;1;50;1475.0;0.2013106346130371;True
quatreSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;4.0;4.0;4.0;4.0;0.0;50;50;4.0;0.0018515586853027344;True
vingtDeuxSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;162.0;169.0;164.58;164.0;1.5398118093336164;1;50;162.0;0.0874176025390625;True
vingtSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;53.0;66.0;59.18;59.0;2.8549277127272346;1;50;53.0;0.2365429401397705;True
dixSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;21.0;25.0;22.28;22.0;1.0887176504718656;13;50;21.0;0.029633283615112305;True
dixSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;13.0;19.0;14.88;15.0;1.3648652471424214;9;50;13.0;0.05236458778381348;True
vingtTroisSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;176.0;179.0;177.28;177.0;0.83397254396151;8;50;176.0;0.0731511116027832;True
vingtDeuxSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;106.0;115.0;110.04;110.0;2.0599187620201067;1;50;106.0;0.6772458553314209;True
cinquanteSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;207.0;283.0;226.42;226.0;11.962680062833508;2;50;207.0;9.196384191513062;True
dixSeptSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;87.0;93.0;89.94;90.0;1.7427400429045226;4;50;87.0;0.05182337760925293;True
vingtSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;40.0;54.0;45.74;45.5;2.9472228366683764;1;50;40.0;0.34319376945495605;True
cinquanteSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;311.0;346.0;330.06;331.0;7.707430816810383;1;50;311.0;3.7340855598449707;True
vingtCinqSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;196.0;199.0;197.16;197.0;0.8656718518596067;13;50;196.0;0.5554122924804688;True
dixSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;17.0;22.0;19.0;19.0;1.324802642213672;7;50;17.0;0.030655622482299805;True
cinqSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;6.0;6.0;6.0;6.0;0.0;50;50;6.0;0.005128622055053711;True
dixSeptSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;74.0;80.0;77.34;77.0;1.985765672510845;3;50;74.0;0.1472640037536621;True
milleSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;7429.0;7579.0;7500.34;7496.5;35.247005951873824;1;50;7429.0;11.265790462493896;True
cinqCentSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;5551.0;5738.0;5624.18;5620.5;41.36679630736098;1;50;5551.0;3.159419298171997;True
vingtEtunSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;141.0;143.0;141.68;142.0;0.7406560798180412;24;50;141.0;0.26331377029418945;True
cinqSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;6.0;6.0;6.0;6.0;0.0;50;50;6.0;0.004482269287109375;True
vingtTroisSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;149.0;156.0;151.9;151.0;1.9717391059774658;5;50;149.0;0.4039311408996582;True
vingtQuatreSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;170.0;175.0;171.9;171.0;1.4880476182856899;8;50;170.0;0.3986794948577881;True
dixMilleSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;7497515.0;7503616.0;7500703.98;7500674.0;1215.7628408970734;1;50;7497515.0;1822.8792667388916;True
trenteSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;195.0;208.0;201.64;202.0;3.141298314716515;1;50;195.0;2.1194775104522705;True
vingtQuatreSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;197.0;199.0;198.16;198.0;0.6502746672423453;7;50;197.0;0.02225637435913086;True
vingtEtunSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;159.0;161.0;159.52;159.0;0.6464976285134149;28;50;159.0;0.0739450454711914;True
quinzeSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;58.0;65.0;60.92;61.0;1.4546196641551834;4;50;58.0;0.09274125099182129;True
vingtDeuxSommets_A2_P4_EPS0.5.log;2;4;0.5;3600;50;136.0;143.0;139.9;140.0;1.6933242273042426;1;50;136.0;0.3614029884338379;True
quinzeSommets_A2_P4_EPS0.0.log;2;4;0.0;3600;50;70.0;72.0;70.54;70.0;0.6455499158682859;27;50;70.0;0.047690391540527344;True
centSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;897.0;966.0;935.16;937.5;17.034610626124493;1;50;897.0;139.50583028793335;True
vingtQuatreSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;131.0;133.0;131.68;132.0;0.586932530976404;19;50;131.0;0.8855748176574707;True
vingtTroisSommets_A2_P4_EPS1.0.log;2;4;1.0;3600;50;116.0;120.0;117.58;118.0;1.1082252773268269;10;50;116.0;0.8073158264160156;True
