logFile;data_file;p;epsilon;nb_runs;elapsed_time;best;worst;mean;median;std_dev;nb_best_found;cpu_total;cpu_mean;T0_best;Tf_best;T0_mean;Tf_mean;solution_file
centSommets_A5.0_P5_EPS0.0.log;data/centSommets.txt;5;0.0;50;3.839132308959961;1581.0;1653.0;1618.08;1619.0;15.853719064095507;1;3.813807249069214;0.07627614498138428;1.0;0.01;1.0;0.01;data_2026-04-15_13-24-00/solutions/centSommets_A5.0_P5_EPS0.0.sol
centSommets_A5.0_P5_EPS0.5.log;data/centSommets.txt;5;0.5;50;1.1442327499389648;1335.0;1403.0;1370.52;1373.5;16.522390497597556;1;1.1192200183868408;0.022384400367736815;18.104937275607185;0.18104937275607186;15.865743621005336;0.15865743621005335;data_2026-04-15_13-24-00/solutions/centSommets_A5.0_P5_EPS0.5.sol
centSommets_A5.0_P5_EPS1.0.log;data/centSommets.txt;5;1.0;50;1.0604135990142822;1182.0;1251.0;1215.46;1213.0;16.343518967618262;1;1.0353868007659912;0.020707736015319823;12.44838921590153;0.1244838921590153;15.665745279327046;0.15665745279327045;data_2026-04-15_13-24-00/solutions/centSommets_A5.0_P5_EPS1.0.sol
cinqCentSommets_A5.0_P5_EPS0.0.log;data/cinqCentSommets.txt;5;0.0;50;20.04747462272644;5923.0;6065.0;6013.1;6014.5;30.953058600640645;1;19.93769860267639;0.3987539720535278;1.0;0.01;1.0;0.01;data_2026-04-15_13-24-00/solutions/cinqCentSommets_A5.0_P5_EPS0.0.sol
cinqCentSommets_A5.0_P5_EPS0.5.log;data/cinqCentSommets.txt;5;0.5;50;5.151259899139404;4674.0;4874.0;4794.0;4789.0;41.70352111596079;1;5.045183420181274;0.10090366840362548;12.482147559537873;0.12482147559537873;13.885467822481216;0.13885467822481218;data_2026-04-15_13-24-00/solutions/cinqCentSommets_A5.0_P5_EPS0.5.sol
cinqCentSommets_A5.0_P5_EPS1.0.log;data/cinqCentSommets.txt;5;1.0;50;4.96456503868103;4179.0;4481.0;4275.9;4277.5;54.77793761159315;1;4.847346544265747;0.09694693088531495;12.949075809778673;0.12949075809778673;13.6979069958243;0.136979069958243;data_2026-04-15_13-24-00/solutions/cinqCentSommets_A5.0_P5_EPS1.0.sol
cinqSommets_A5.0_P5_EPS0.0.log;data/cinqSommets.txt;5;0.0;50;0.23710346221923828;8.0;8.0;8.0;8.0;0.0;50;0.23613905906677246;0.004722781181335449;1.0;0.01;1.0;0.01;data_2026-04-15_13-24-00/solutions/cinqSommets_A5.0_P5_EPS0.0.sol
cinqSommets_A5.0_P5_EPS0.5.log;data/cinqSommets.txt;5;0.5;50;0.0319819450378418;6.0;6.0;6.0;6.0;0.0;50;0.03095221519470215;0.000619044303894043;4.481420117724551;0.04481420117724551;4.481420117724551;0.04481420117724551;data_2026-04-15_13-24-00/solutions/cinqSommets_A5.0_P5_EPS0.5.sol
cinqSommets_A5.0_P5_EPS1.0.log;data/cinqSommets.txt;5;1.0;50;0.03147721290588379;6.0;6.0;6.0;6.0;0.0;50;0.03050971031188965;0.000610194206237793;4.481420117724551;0.04481420117724551;4.481420117724551;0.04481420117724551;data_2026-04-15_13-24-00/solutions/cinqSommets_A5.0_P5_EPS1.0.sol
cinquanteSommets_A5.0_P5_EPS0.0.log;data/cinquanteSommets.txt;5;0.0;50;1.9624531269073486;397.0;430.0;408.84;410.0;6.001224364873473;3;1.9544763565063477;0.03908952713012695;1.0;0.01;1.0;0.01;data_2026-04-15_13-24-00/solutions/cinquanteSommets_A5.0_P5_EPS0.0.sol
cinquanteSommets_A5.0_P5_EPS0.5.log;data/cinquanteSommets.txt;5;0.5;50;0.4071199893951416;312.0;337.0;326.02;327.0;6.222047697584808;1;0.39927196502685547;0.00798543930053711;9.6522894843298;0.09652289484329801;10.956971463598553;0.10956971463598553;data_2026-04-15_13-24-00/solutions/cinquanteSommets_A5.0_P5_EPS0.5.sol
