logFile;data_file;p;epsilon;nb_runs;elapsed_time;best;worst;mean;median;std_dev;nb_best_found;cpu_total;cpu_mean;T0_best;Tf_best;T0_mean;Tf_mean;solution_file
centSommets_A5.0_P4_EPS0.0.log;data/centSommets.txt;4;0.0;50;3.7192270755767822;1487.0;1538.0;1514.38;1517.0;12.743769986522347;1;3.693676710128784;0.07387353420257568;1.0;0.01;1.0;0.01;data_2026-04-15_13-23-46/solutions/centSommets_A5.0_P4_EPS0.0.sol
centSommets_A5.0_P4_EPS0.5.log;data/centSommets.txt;4;0.5;50;1.1011297702789307;1178.0;1237.0;1202.92;1202.5;13.206121029774838;1;1.0762245655059814;0.021524491310119628;18.0349834005988;0.180349834005988;17.667289436772524;0.17667289436772524;data_2026-04-15_13-23-46/solutions/centSommets_A5.0_P4_EPS0.5.sol
centSommets_A5.0_P4_EPS1.0.log;data/centSommets.txt;4;1.0;50;1.0319764614105225;859.0;953.0;914.58;915.0;20.32600626321474;1;1.0076234340667725;0.02015246868133545;19.22031294935196;0.19220312949351961;17.301310003251423;0.17301310003251424;data_2026-04-15_13-23-46/solutions/centSommets_A5.0_P4_EPS1.0.sol
cinqCentSommets_A5.0_P4_EPS0.0.log;data/cinqCentSommets.txt;4;0.0;50;19.276590585708618;5559.0;5692.0;5630.62;5628.0;33.385130504095834;1;19.170926332473755;0.3834185266494751;1.0;0.01;1.0;0.01;data_2026-04-15_13-23-46/solutions/cinqCentSommets_A5.0_P4_EPS0.0.sol
cinqCentSommets_A5.0_P4_EPS0.5.log;data/cinqCentSommets.txt;4;0.5;50;4.878271102905273;4056.0;4276.0;4140.24;4135.5;39.475934286031816;1;4.773224353790283;0.09546448707580567;14.885836055378752;0.1488583605537875;15.261140437371392;0.15261140437371393;data_2026-04-15_13-23-46/solutions/cinqCentSommets_A5.0_P4_EPS0.5.sol
cinqCentSommets_A5.0_P4_EPS1.0.log;data/cinqCentSommets.txt;4;1.0;50;4.673248052597046;2982.0;3194.0;3094.34;3095.0;51.566327408968924;1;4.570298910140991;0.09140597820281983;15.547080562259788;0.15547080562259788;15.61422222522839;0.1561422222522839;data_2026-04-15_13-23-46/solutions/cinqCentSommets_A5.0_P4_EPS1.0.sol
cinqSommets_A5.0_P4_EPS0.0.log;data/cinqSommets.txt;4;0.0;50;0.034366607666015625;6.0;6.0;6.0;6.0;0.0;50;0.03339958190917969;0.0006679916381835938;4.481420117724551;0.04481420117724551;4.481420117724551;0.04481420117724551;data_2026-04-15_13-23-46/solutions/cinqSommets_A5.0_P4_EPS0.0.sol
cinqSommets_A5.0_P4_EPS0.5.log;data/cinqSommets.txt;4;0.5;50;0.034232378005981445;6.0;6.0;6.0;6.0;0.0;50;0.03326845169067383;0.0006653690338134766;4.481420117724551;0.04481420117724551;4.481420117724551;0.04481420117724551;data_2026-04-15_13-23-46/solutions/cinqSommets_A5.0_P4_EPS0.5.sol
cinqSommets_A5.0_P4_EPS1.0.log;data/cinqSommets.txt;4;1.0;50;0.04305863380432129;4.0;4.0;4.0;4.0;0.0;50;0.0414738655090332;0.000829477310180664;4.753021336980584;0.04753021336980584;5.402952463513611;0.054029524635136106;data_2026-04-15_13-23-46/solutions/cinqSommets_A5.0_P4_EPS1.0.sol
cinquanteSommets_A5.0_P4_EPS0.0.log;data/cinquanteSommets.txt;4;0.0;50;0.5266306400299072;306.0;323.0;314.72;315.0;4.290663808592716;2;0.5187244415283203;0.010374488830566407;10.495957644144342;0.10495957644144342;10.252499204860941;0.10252499204860942;data_2026-04-15_13-23-46/solutions/cinquanteSommets_A5.0_P4_EPS0.0.sol
