logFile;data_file;p;epsilon;nb_runs;elapsed_time;best;worst;mean;median;std_dev;nb_best_found;cpu_total;cpu_mean;T0_best;Tf_best;T0_mean;Tf_mean;solution_file
centSommets_A5.0_P2_EPS0.0.log;data/centSommets.txt;2;0.0;50;3.7052013874053955;959.0;1054.0;1011.4;1010.0;17.410998166183845;1;3.6798830032348633;0.07359766006469727;1.0;0.01;1.0;0.01;data_2026-04-15_13-22-45/solutions/centSommets_A5.0_P2_EPS0.0.sol
centSommets_A5.0_P2_EPS0.5.log;data/centSommets.txt;2;0.5;50;1.011124610900879;677.0;717.0;695.42;696.0;10.408179671855816;1;0.9870455265045166;0.019740910530090333;19.19216876503775;0.1919216876503775;22.440270064670333;0.22440270064670334;data_2026-04-15_13-22-45/solutions/centSommets_A5.0_P2_EPS0.5.sol
centSommets_A5.0_P2_EPS1.0.log;data/centSommets.txt;2;1.0;50;0.9425020217895508;0.0;0.0;0.0;0.0;0.0;50;0.9197452068328857;0.018394904136657717;21.286745559191615;0.21286745559191617;23.44342368116994;0.2344342368116994;data_2026-04-15_13-22-45/solutions/centSommets_A5.0_P2_EPS1.0.sol
cinqCentSommets_A5.0_P2_EPS0.0.log;data/cinqCentSommets.txt;2;0.0;50;18.58172059059143;3646.0;3860.0;3759.34;3754.0;44.347242971617455;1;18.473215579986572;0.3694643115997314;1.0;0.01;1.0;0.01;data_2026-04-15_13-22-45/solutions/cinqCentSommets_A5.0_P2_EPS0.0.sol
cinqCentSommets_A5.0_P2_EPS0.5.log;data/cinqCentSommets.txt;2;0.5;50;4.598462820053101;2379.0;2537.0;2454.52;2458.0;35.62746017284066;1;4.49749755859375;0.089949951171875;22.315643035199805;0.22315643035199806;21.149809752069537;0.21149809752069537;data_2026-04-15_13-22-45/solutions/cinqCentSommets_A5.0_P2_EPS0.5.sol
cinqCentSommets_A5.0_P2_EPS1.0.log;data/cinqCentSommets.txt;2;1.0;50;4.202312231063843;0.0;0.0;0.0;0.0;0.0;50;4.106077671051025;0.08212155342102051;22.407100588622754;0.22407100588622755;20.83383287655373;0.2083383287655373;data_2026-04-15_13-22-45/solutions/cinqCentSommets_A5.0_P2_EPS1.0.sol
cinqSommets_A5.0_P2_EPS0.0.log;data/cinqSommets.txt;2;0.0;50;0.03482460975646973;4.0;4.0;4.0;4.0;0.0;50;0.03387284278869629;0.0006774568557739258;4.481420117724551;0.04481420117724551;4.481420117724551;0.04481420117724551;data_2026-04-15_13-22-45/solutions/cinqSommets_A5.0_P2_EPS0.0.sol
cinqSommets_A5.0_P2_EPS0.5.log;data/cinqSommets.txt;2;0.5;50;0.027091264724731445;3.0;3.0;3.0;3.0;0.0;50;0.026126623153686523;0.0005225324630737304;4.481420117724551;0.04481420117724551;6.055767692890903;0.06055767692890903;data_2026-04-15_13-22-45/solutions/cinqSommets_A5.0_P2_EPS0.5.sol
cinqSommets_A5.0_P2_EPS1.0.log;data/cinqSommets.txt;2;1.0;50;0.02427196502685547;0.0;0.0;0.0;0.0;0.0;50;0.023340463638305664;0.0004668092727661133;14.340544376718563;0.14340544376718564;7.486734375912229;0.07486734375912228;data_2026-04-15_13-22-45/solutions/cinqSommets_A5.0_P2_EPS1.0.sol
cinquanteSommets_A5.0_P2_EPS0.0.log;data/cinquanteSommets.txt;2;0.0;50;1.8260362148284912;229.0;273.0;256.58;257.5;8.79027756056865;1;1.8183672428131104;0.03636734485626221;1.0;0.01;1.0;0.01;data_2026-04-15_13-22-45/solutions/cinquanteSommets_A5.0_P2_EPS0.0.sol
cinquanteSommets_A5.0_P2_EPS0.5.log;data/cinquanteSommets.txt;2;0.5;50;0.348097562789917;139.0;169.0;154.82;154.0;6.576674924399448;1;0.34076476097106934;0.006815295219421386;13.220189347287425;0.13220189347287425;15.535601035734466;0.15535601035734464;data_2026-04-15_13-22-45/solutions/cinquanteSommets_A5.0_P2_EPS0.5.sol
cinquanteSommets_A5.0_P2_EPS1.0.log;data/cinquanteSommets.txt;2;1.0;50;0.3187837600708008;0.0;0.0;0.0;0.0;0.0;50;0.31156349182128906;0.006231269836425781;19.387013117982296;0.19387013117982296;16.020192467317532;0.16020192467317534;data_2026-04-15_13-22-45/solutions/cinquanteSommets_A5.0_P2_EPS1.0.sol
dixSeptSommets_A5.0_P2_EPS0.0.log;data/dixSeptSommets.txt;2;0.0;50;0.14177322387695312;60.0;60.0;60.0;60.0;0.0;50;0.1393117904663086;0.002786235809326172;5.655125386652409;0.05655125386652409;5.1921211577767865;0.05192121157776786;data_2026-04-15_13-22-45/solutions/dixSeptSommets_A5.0_P2_EPS0.0.sol
dixSeptSommets_A5.0_P2_EPS0.5.log;data/dixSeptSommets.txt;2;0.5;50;0.10814142227172852;36.0;40.0;37.7;38.0;0.8144110179279557;1;0.10568904876708984;0.002113780975341797;7.913997229173143;0.07913997229173143;13.34153765919205;0.13341537659192051;data_2026-04-15_13-22-45/solutions/dixSeptSommets_A5.0_P2_EPS0.5.sol
dixSeptSommets_A5.0_P2_EPS1.0.log;data/dixSeptSommets.txt;2;1.0;50;0.103515625;0.0;0.0;0.0;0.0;0.0;50;0.10092639923095703;0.0020185279846191406;15.236828400263471;0.15236828400263472;15.8391675948177;0.15839167594817702;data_2026-04-15_13-22-45/solutions/dixSeptSommets_A5.0_P2_EPS1.0.sol
dixSommets_A5.0_P2_EPS0.0.log;data/dixSommets.txt;2;0.0;50;0.40543317794799805;13.0;20.0;16.54;17.0;1.6562805638304305;1;0.4040658473968506;0.008081316947937012;1.0;0.01;1.0;0.01;data_2026-04-15_13-22-45/solutions/dixSommets_A5.0_P2_EPS0.0.sol
dixSommets_A5.0_P2_EPS0.5.log;data/dixSommets.txt;2;0.5;50;0.06390643119812012;8.0;9.0;8.12;8.0;0.32826072265931594;44;0.06219315528869629;0.0012438631057739259;7.696351941309555;0.07696351941309555;9.358695198190649;0.09358695198190647;data_2026-04-15_13-22-45/solutions/dixSommets_A5.0_P2_EPS0.5.sol
dixSommets_A5.0_P2_EPS1.0.log;data/dixSommets.txt;2;1.0;50;0.047496795654296875;0.0;0.0;0.0;0.0;0.0;50;0.04618668556213379;0.0009237337112426758;5.6017751471556885;0.05601775147155689;9.20376588663326;0.0920376588663326;data_2026-04-15_13-22-45/solutions/dixSommets_A5.0_P2_EPS1.0.sol
milleSommets_A5.0_P2_EPS0.0.log;data/milleSommets.txt;2;0.0;50;37.64070153236389;4825.0;5089.0;4996.78;5002.5;53.369443982679904;1;37.476579904556274;0.7495315980911255;1.0;0.01;1.0;0.01;data_2026-04-15_13-22-45/solutions/milleSommets_A5.0_P2_EPS0.0.sol
milleSommets_A5.0_P2_EPS0.5.log;data/milleSommets.txt;2;0.5;50;7.624663829803467;2994.0;3141.0;3069.7;3066.5;37.20612743040247;1;7.468738555908203;0.14937477111816405;16.213677279857365;0.16213677279857364;17.647020898939818;0.1764702089893982;data_2026-04-15_13-22-45/solutions/milleSommets_A5.0_P2_EPS0.5.sol
milleSommets_A5.0_P2_EPS1.0.log;data/milleSommets.txt;2;1.0;50;7.059551954269409;0.0;0.0;0.0;0.0;0.0;50;6.911250591278076;0.13822501182556152;16.887877917319887;0.16887877917319888;17.47555900508171;0.17475559005081712;data_2026-04-15_13-22-45/solutions/milleSommets_A5.0_P2_EPS1.0.sol
